"plid","nadults","stablelink","datetime","moon","tempf"
"LOCKb2013a_000129",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f523.JPG",2012-12-22 13:00:00,"firstq",49
"LOCKb2013a_000130",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f525.JPG",2012-12-22 14:00:00,"firstq",50
"LOCKb2013a_000131",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f527.JPG",2012-12-22 15:00:00,"firstq",47
"LOCKb2013a_000132",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f529.JPG",2012-12-22 16:00:00,"firstq",45
"LOCKb2013a_000133",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f52b.JPG",2012-12-22 17:00:00,"firstq",45
"LOCKb2013a_000134",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f52d.JPG",2012-12-22 18:00:00,"firstq",42
"LOCKb2013a_000135",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f52f.JPG",2012-12-22 19:00:00,"firstq",38
"LOCKb2013a_000136",24,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f531.JPG",2012-12-22 20:00:00,"firstq",41
"LOCKb2013a_000137",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f533.JPG",2012-12-23 07:00:00,"waxinggib",37
"LOCKb2013a_000138",14,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f535.JPG",2012-12-23 08:00:00,"waxinggib",36
"LOCKb2013a_000139",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f537.JPG",2012-12-23 09:00:00,"waxinggib",36
"LOCKb2013a_000140",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f539.JPG",2012-12-23 10:00:00,"waxinggib",40
"LOCKb2013a_000141",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f53b.JPG",2012-12-23 11:00:00,"waxinggib",44
"LOCKb2013a_000142",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f53d.JPG",2012-12-23 12:00:00,"waxinggib",45
