imageid,datetime,nadults,nchicks,neggs,tempc,lunar_phase,URL
SPIGa2013b_000885,2013:03:09 14:00:00,17,0,0,13.33,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb712fc4d79f304f199.JPG
SPIGa2013b_000887,2013:03:09 16:00:00,15,0,0,13.33,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb712fc4d79f304f19d.JPG
SPIGa2013b_004837,2013:11:27 21:00:00,22,0,0,13.33,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed712fc4d79f3051079.JPG
SPIGa2013b_004931,2013:12:04 10:00:00,16,0,2,13.33,new,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed812fc4d79f3051135.JPG
SPIGa2013b_005220,2013:12:23 14:00:00,11,0,0,13.33,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eda12fc4d79f3051377.JPG
SPIGa2014a_000207,2014:01:07 12:00:00,35,1,1,13.33,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edc12fc4d79f3051517.JPG
SPIGa2014b_000163,2014:01:21 20:00:00,34,15,0,13.33,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ede12fc4d79f30516ad.JPG
SPIGa2012a_000106,2012:12:02 17:00:00,16,0,0,12.78,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eae12fc4d79f304e877.JPG
SPIGa2012a_000369,2012:12:20 10:00:00,11,0,0,12.78,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304ea85.JPG
SPIGa2012a_000371,2012:12:20 12:00:00,10,0,0,12.78,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304ea89.JPG
SPIGa2012a_000382,2012:12:21 08:00:00,13,0,0,12.78,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304ea9f.JPG
SPIGa2013b_000106,2013:01:16 15:00:00,15,11,0,12.78,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb112fc4d79f304eb83.JPG
SPIGa2013b_000241,2013:01:25 15:00:00,14,7,0,12.78,full,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb212fc4d79f304ec91.JPG
SPIGa2013b_000340,2013:02:01 09:00:00,20,11,0,12.78,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb312fc4d79f304ed57.JPG
SPIGa2013b_000361,2013:02:02 15:00:00,12,12,0,12.78,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb312fc4d79f304ed81.JPG
SPIGa2013b_000362,2013:02:02 16:00:00,13,9,0,12.78,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb312fc4d79f304ed83.JPG
SPIGa2013b_000630,2013:02:20 14:00:00,8,0,0,12.78,waxinggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb512fc4d79f304ef9b.JPG
SPIGa2013b_000634,2013:02:20 18:00:00,12,0,0,12.78,waxinggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb512fc4d79f304efa3.JPG
SPIGa2013b_000902,2013:03:10 16:00:00,13,4,0,12.78,new,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb712fc4d79f304f1bb.JPG
